"MSA.code","MSA.name","SOC.code","SOC.title","EST.employment","ANNUAL.wage"
"53","Washington","13-2011","Accountants & Auditors",27371.5,73491
"13380","Bellingham, WA","13-2011","Accountants & Auditors",681.5,65144
"14740","Bremerton-Silverdale, WA","13-2011","Accountants & Auditors",454.4,69042
"28420","Kennewick-Richland, WA","13-2011","Accountants & Auditors",712,71715
"30300","Lewiston, ID-WA","13-2011","Accountants & Auditors",128.5,65440
"31020","Longview, WA","13-2011","Accountants & Auditors",166.1,67705
"34580","Mount Vernon-Anacortes, WA","13-2011","Accountants & Auditors",239.7,68542
"36500","Olympia-Tumwater, WA","13-2011","Accountants & Auditors",748.8,70603
"38900","Portland-Vancouver-Hillsboro, OR-WA","13-2011","Accountants & Auditors",9513.1,70205
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","13-2011","Accountants & Auditors",17256.6,76644
"44060","Spokane-Spokane Valley, WA","13-2011","Accountants & Auditors",1639.4,66093
"45104","Tacoma-Lakewood, WA Metropolitan Division","13-2011","Accountants & Auditors",2085.8,68960
"47460","Walla Walla, WA","13-2011","Accountants & Auditors",172.4,76889
"48300","Wenatchee, WA","13-2011","Accountants & Auditors",282.4,68603
"49420","Yakima, WA","13-2011","Accountants & Auditors",440.4,64960
"530001","Northwestern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",333.2,68032
"530002","Southwestern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",368.6,63970
"530003","Central WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",148.2,56266
"530004","Eastern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",368.2,64226
"53","Washington","27-2011","Actors",465.1,NA
"38900","Portland-Vancouver-Hillsboro, OR-WA","27-2011","Actors",41.4,NA
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","27-2011","Actors",450,NA
"53","Washington","15-2011","Actuaries",346.7,114327
"38900","Portland-Vancouver-Hillsboro, OR-WA","15-2011","Actuaries",NA,99471
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","15-2011","Actuaries",238.1,118226
"44060","Spokane-Spokane Valley, WA","15-2011","Actuaries",17.2,89659
"53","Washington","51-9191","Adhesive Bonding Machine Operators & Tenders",667.2,52101
"13380","Bellingham, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",47.6,NA
"38900","Portland-Vancouver-Hillsboro, OR-WA","51-9191","Adhesive Bonding Machine Operators & Tenders",111,38706
"44060","Spokane-Spokane Valley, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",46.4,30670
"45104","Tacoma-Lakewood, WA Metropolitan Division","51-9191","Adhesive Bonding Machine Operators & Tenders",21.3,41544
"49420","Yakima, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",17.4,NA
"530002","Southwestern WA Nonmetropolitan Area (NMA)","51-9191","Adhesive Bonding Machine Operators & Tenders",20.3,34009
"53","Washington","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",315.5,101385
"38900","Portland-Vancouver-Hillsboro, OR-WA","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",162.2,88515
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",121.3,109122
"44060","Spokane-Spokane Valley, WA","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",21.3,117648
"45104","Tacoma-Lakewood, WA Metropolitan Division","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",33.8,121233
"53","Washington","11-3011","Administrative Services Managers",4891.9,108583
"13380","Bellingham, WA","11-3011","Administrative Services Managers",98.7,92899
"14740","Bremerton-Silverdale, WA","11-3011","Administrative Services Managers",85.7,77624
"28420","Kennewick-Richland, WA","11-3011","Administrative Services Managers",179,120584
"30300","Lewiston, ID-WA","11-3011","Administrative Services Managers",51.6,66848
"31020","Longview, WA","11-3011","Administrative Services Managers",49.3,115594
"34580","Mount Vernon-Anacortes, WA","11-3011","Administrative Services Managers",61.8,87246
"36500","Olympia-Tumwater, WA","11-3011","Administrative Services Managers",129.8,95512
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-3011","Administrative Services Managers",2256.3,90328
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-3011","Administrative Services Managers",2946.1,120665
"44060","Spokane-Spokane Valley, WA","11-3011","Administrative Services Managers",308.9,81001
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-3011","Administrative Services Managers",359.7,88634
"47460","Walla Walla, WA","11-3011","Administrative Services Managers",26.7,77307
"48300","Wenatchee, WA","11-3011","Administrative Services Managers",54.6,106614
"49420","Yakima, WA","11-3011","Administrative Services Managers",66.8,80093
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",67.8,79603
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",83.3,85726
"530003","Central WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",36.1,60430
