"rank_data","s_name","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
1,"Lakeside School","A+",838,"9:1","98125","42644","Seattle-Bellevue-Everett,WA"
3,"The Bush School","A+",595,"9:1","98112","42644","Seattle-Bellevue-Everett,WA"
6,"The Bear Creek School","A+",731,"10:1","98053","42644","Seattle-Bellevue-Everett,WA"
8,"Charles Wright Academy","A+",700,"11:1","98467","45104","Tacoma-Lakewood,WA"
9,"Eastside Preparatory School","A+",400,"5:1","98033","42644","Seattle-Bellevue-Everett,WA"
12,"Holy Names Academy","A+",696,"15:1","98112","42644","Seattle-Bellevue-Everett,WA"
15,"Bellarmine Preparatory School","A+",1019,"13:1","98405","45104","Tacoma-Lakewood,WA"
16,"West Sound Academy","A+",119,"8:1","98370","14740","Bremerton-Silverdale,WA"
20,"Bishop Blanchet High School","A",831,"13:1","98103","42644","Seattle-Bellevue-Everett,WA"
23,"Northwest Yeshiva High School","A",74,"5:1","98040","42644","Seattle-Bellevue-Everett,WA"
25,"Bellevue Christian School","A",1050,"14:1","98004","42644","Seattle-Bellevue-Everett,WA"
26,"Shoreline Christian School","A",195,"8:1","98155","42644","Seattle-Bellevue-Everett,WA"
29,"Gonzaga Preparatory School","A-",857,"14:1","99207","44060","Spokane-SpokaneValley,WA"
30,"Evergreen Lutheran High School","A-",122,"12:1","98443","45104","Tacoma-Lakewood,WA"
32,"St. Paul's Academy","A-",324,"9:1","98225","13380","Bellingham,WA"
34,"O'Dea High School","A-",490,"19:1","98104","42644","Seattle-Bellevue-Everett,WA"
35,"Seattle Waldorf School","B+",351,"10:1","98125","42644","Seattle-Bellevue-Everett,WA"
36,"Northwest Christian High School","B+",131,"19:1","98516","36500","Olympia-Tumwater,WA"
38,"Northwest Christian School","B+",694,"16:1","99005","44060","Spokane-SpokaneValley,WA"
40,"Christian Faith School","B+",315,"15:1","98003","42644","Seattle-Bellevue-Everett,WA"
41,"Sunnyside Christian School","B+",300,"13:1","98944","28420","Kennewick-Richland,WA"
41,"Sunnyside Christian School","B+",300,"13:1","98944","49420","Yakima,WA"
42,"La Salle High School","B+",187,"13:1","98903","49420","Yakima,WA"
43,"Valley Christian School","B",239,"14:1","98002","42644","Seattle-Bellevue-Everett,WA"
49,"Chrysalis School","B",175,"4:1","98072","42644","Seattle-Bellevue-Everett,WA"
50,"Walla Walla Valley Academy","B",170,"10:1","99324","47460","WallaWalla,WA"
51,"Seattle Lutheran High School","B",113,"8:1","98116","42644","Seattle-Bellevue-Everett,WA"
52,"Moses Lake Christian Academy","B",160,"15:1","98837","34180","MosesLake,WA"
54,"Riverside Christian School","B-",379,"12:1","98901","21260","Ellensburg,WA"
54,"Riverside Christian School","B-",379,"12:1","98901","49420","Yakima,WA"
55,"Columbia Adventist Academy","B-",109,"14:1","98604","38900","Portland-Vancouver-Hillsboro,OR-WA"
56,"Pope John Paul II High School","B-",74,"11:1","98503","36500","Olympia-Tumwater,WA"
59,"Grace Academy","B-",306,"17:1","98270","42644","Seattle-Bellevue-Everett,WA"
62,"Mount Vernon Christian School","C",320,"13:1","98273","34580","MountVernon-Anacortes,WA"
63,"Hillside Student Community School","A+",39,"4:1","98006","42644","Seattle-Bellevue-Everett,WA"
64,"Cascade Christian Academy","B-",134,"10:1","98801","48300","Wenatchee,WA"
65,"Pullman Christian School","B-",66,"9:1","99163","39420","Pullman,WA"
68,"The River Academy","C+",221,"11:1","98801","48300","Wenatchee,WA"
69,"St. Michael's Academy","C+",167,"11:1","99217","44060","Spokane-SpokaneValley,WA"
71,"Firm Foundation Christian School","C-",435,"12:1","98604","38900","Portland-Vancouver-Hillsboro,OR-WA"
74,"Upper Columbia Academy","NG",230,"15:1","99031","44060","Spokane-SpokaneValley,WA"
77,"Kingspoint Christian School","NG",151,"10:1","99301","28420","Kennewick-Richland,WA"
79,"Cornerstone Christian School","NG",120,"15:1","98264","13380","Bellingham,WA"
79,"Cornerstone Christian School","NG",120,"15:1","98512","36500","Olympia-Tumwater,WA"
81,"Burley Christian School","NG",102,"9:1","98367","14740","Bremerton-Silverdale,WA"
82,"Eagle View Christian School","NG",102,"9:1","98597","36500","Olympia-Tumwater,WA"
83,"Island Christian Academy","NG",95,"13:1","98260","36020","OakHarbor,WA"
92,"Christian Heritage School","NG",64,"9:1","99008","44060","Spokane-SpokaneValley,WA"
102,"Spring Academy","NG",45,"—","98125","42644","Seattle-Bellevue-Everett,WA"
103,"Eastside Academy","NG",45,"8:1","98004","42644","Seattle-Bellevue-Everett,WA"
104,"Puget Sound Community School","NG",45,"11:1","98134","42644","Seattle-Bellevue-Everett,WA"
107,"New Horizon School","NG",38,"5:1","98055","42644","Seattle-Bellevue-Everett,WA"
109,"Northwest Liberty School","NG",35,"12:1","98072","42644","Seattle-Bellevue-Everett,WA"
111,"Upper Valley Christian School","NG",33,"7:1","98826","48300","Wenatchee,WA"
115,"Seattle Urban Academy","NG",30,"9:1","98118","42644","Seattle-Bellevue-Everett,WA"
116,"Deep Creek Hutterian School","NG",28,"12:1","99029","44060","Spokane-SpokaneValley,WA"
125,"Harbor Christian Schools","NG",20,"6:1","98335","45104","Tacoma-Lakewood,WA"
