"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
1,"Tesla STEM High School","Lake Washington School District","A+",557,"24:1","98053","42644","Seattle-Bellevue-Everett,WA"
2,"Interlake Senior High School","Bellevue School District","A+",1590,"19:1","98008","42644","Seattle-Bellevue-Everett,WA"
3,"International School","Bellevue School District","A+",568,"18:1","98005","42644","Seattle-Bellevue-Everett,WA"
4,"International Community School","Lake Washington School District","A+",439,"23:1","98033","42644","Seattle-Bellevue-Everett,WA"
5,"Garfield High School","Seattle Public Schools","A+",1620,"22:1","98122","42644","Seattle-Bellevue-Everett,WA"
6,"Bellevue High School","Bellevue School District","A+",1545,"21:1","98004","42644","Seattle-Bellevue-Everett,WA"
7,"Mercer Island High School","Mercer Island School District","A+",1416,"20:1","98040","42644","Seattle-Bellevue-Everett,WA"
8,"Newport Senior High School","Bellevue School District","A+",1730,"20:1","98006","42644","Seattle-Bellevue-Everett,WA"
9,"Roosevelt High School","Seattle Public Schools","A+",1721,"20:1","98115","42644","Seattle-Bellevue-Everett,WA"
10,"Raisbeck Aviation High School","Highline School District","A+",432,"22:1","98108","42644","Seattle-Bellevue-Everett,WA"
11,"Issaquah High School","Issaquah School District","A+",2107,"25:1","98027","42644","Seattle-Bellevue-Everett,WA"
13,"Redmond High School","Lake Washington School District","A+",1875,"22:1","98501","36500","Olympia-Tumwater,WA"
14,"Bainbridge High School","Bainbridge Island School District","A+",1261,"20:1","98110","14740","Bremerton-Silverdale,WA"
16,"Ballard High School","Seattle Public Schools","A",1669,"21:1","98117","42644","Seattle-Bellevue-Everett,WA"
17,"Ingraham High School","Seattle Public Schools","A",1214,"20:1","98133","42644","Seattle-Bellevue-Everett,WA"
18,"Nathan Hale High School","Seattle Public Schools","A",1165,"19:1","98125","42644","Seattle-Bellevue-Everett,WA"
19,"Woodinville High School","Northshore School District","A",1445,"24:1","98501","36500","Olympia-Tumwater,WA"
20,"Kamiak High School","Mukilteo School District","A",2100,"23:1","98275","42644","Seattle-Bellevue-Everett,WA"
21,"Inglemoor High School","Northshore School District","A",1595,"22:1","98501","36500","Olympia-Tumwater,WA"
22,"Vashon Island High School","Vashon Island School District","A",576,"21:1","98070","42644","Seattle-Bellevue-Everett,WA"
23,"Vancouver School of Arts & Academics","Vancouver School District","A",589,"21:1","98501","36500","Olympia-Tumwater,WA"
24,"Liberty Senior High School","Issaquah School District","A",1278,"23:1","98501","36500","Olympia-Tumwater,WA"
25,"Harrison Preparatory School","Clover Park School District","A",491,"18:1","98501","36500","Olympia-Tumwater,WA"
26,"Olympia High School","Olympia School District","A",1785,"23:1","98501","36500","Olympia-Tumwater,WA"
27,"Henry M. Jackson High School","Everett School District","A-",2139,"24:1","98012","42644","Seattle-Bellevue-Everett,WA"
28,"Shorewood High School","Shoreline School District","A-",1551,"22:1","98133","42644","Seattle-Bellevue-Everett,WA"
29,"Camas High School","Camas School District","A-",2005,"20:1","98607","38900","Portland-Vancouver-Hillsboro,OR-WA"
30,"Liberty Bell Junior/Senior High School","Methow Valley School District","A-",265,"16:1","98501","36500","Olympia-Tumwater,WA"
31,"Central Kitsap High School","Central Kitsap School District","A-",1514,"22:1","98383","14740","Bremerton-Silverdale,WA"
32,"Sammamish Senior High School","Bellevue School District","A-",948,"19:1","98501","36500","Olympia-Tumwater,WA"
33,"Hanford High School","Richland School District","A-",1721,"23:1","99352","28420","Kennewick-Richland,WA"
35,"Curtis Senior High School","University Place School District","A-",1446,"21:1","98501","36500","Olympia-Tumwater,WA"
36,"Kentlake High School","Kent School District","A-",1501,"23:1","98042","42644","Seattle-Bellevue-Everett,WA"
37,"Bothell High School","Northshore School District","A-",1605,"22:1","98011","42644","Seattle-Bellevue-Everett,WA"
38,"Glacier Peak High School","Snohomish School District","A-",1745,"25:1","98296","42644","Seattle-Bellevue-Everett,WA"
39,"Lake Washington High School","Lake Washington School District","A-",1459,"21:1","98501","36500","Olympia-Tumwater,WA"
40,"Auburn Mountainview High School","Auburn School District","A-",1531,"22:1","98092","42644","Seattle-Bellevue-Everett,WA"
41,"Eagle Harbor High School","Bainbridge Island School District","A-",145,"23:1","98110","14740","Bremerton-Silverdale,WA"
43,"Edmonds Woodway High School","Edmonds School District","A-",1680,"21:1","98026","42644","Seattle-Bellevue-Everett,WA"
44,"Lewis & Clark High School","Spokane School District","A-",1896,"20:1","99204","44060","Spokane-SpokaneValley,WA"
45,"Tahoma Senior High School","Tahoma School District","A-",1821,"24:1","98042","42644","Seattle-Bellevue-Everett,WA"
46,"Kentridge High School","Kent School District","A-",2230,"24:1","98031","42644","Seattle-Bellevue-Everett,WA"
47,"Shorecrest High School","Shoreline School District","A-",1294,"21:1","98155","42644","Seattle-Bellevue-Everett,WA"
48,"Science & Math Institute","Tacoma School District","A-",459,"17:1","98501","36500","Olympia-Tumwater,WA"
49,"Newport High School","Newport School District","A-",359,"21:1","99156","44060","Spokane-SpokaneValley,WA"
50,"Kent Mountain View Academy","Kent School District","A-",342,"20:1","98198","42644","Seattle-Bellevue-Everett,WA"
51,"Mountain View High School","Evergreen Public Schools","A-",1853,"21:1","98501","36500","Olympia-Tumwater,WA"
52,"The Center School","Seattle Public Schools","A-",275,"19:1","98109","42644","Seattle-Bellevue-Everett,WA"
53,"Peninsula High School","Peninsula School District","B+",1414,"23:1","98332","45104","Tacoma-Lakewood,WA"
54,"Mount Si High School","Snoqualmie Valley School District","B+",1771,"21:1","98065","42644","Seattle-Bellevue-Everett,WA"
55,"Ferris High School","Spokane School District","B+",1794,"19:1","99223","44060","Spokane-SpokaneValley,WA"
56,"Bellingham High School","Bellingham School District","B+",1070,"24:1","98225","13380","Bellingham,WA"
57,"West Seattle High School","Seattle Public Schools","B+",1014,"19:1","98116","42644","Seattle-Bellevue-Everett,WA"
58,"Kamiakin High School","Kennewick School District","B+",1778,"23:1","99336","28420","Kennewick-Richland,WA"
59,"Pullman High School","Pullman Public Schools","B+",732,"20:1","98501","36500","Olympia-Tumwater,WA"
60,"North Central High School","Spokane School District","B+",1280,"18:1","99205","44060","Spokane-SpokaneValley,WA"
61,"Nova High School","Seattle Public Schools","B+",341,"18:1","98122","42644","Seattle-Bellevue-Everett,WA"
62,"Timberline High School","North Thurston Public Schools","B+",1734,"22:1","98503","36500","Olympia-Tumwater,WA"
63,"Trout Lake High School","Trout Lake School District","B+",134,"16:1","98501","36500","Olympia-Tumwater,WA"
64,"Cascade Parent Partnership Program","Seattle Public Schools","B+",183,"25:1","98119","42644","Seattle-Bellevue-Everett,WA"
65,"Tacoma School of the Arts","Tacoma School District","B+",521,"18:1","98402","45104","Tacoma-Lakewood,WA"
66,"Meadowdale High School","Edmonds School District","B+",1589,"23:1","98037","42644","Seattle-Bellevue-Everett,WA"
67,"Steilacoom High School","Steilacoom Historical School District","B+",908,"22:1","98501","36500","Olympia-Tumwater,WA"
68,"Auburn Riverside High School","Auburn School District","B+",1638,"22:1","98092","42644","Seattle-Bellevue-Everett,WA"
69,"Ellensburg High School","Ellensburg School District","B+",968,"21:1","98926","21260","Ellensburg,WA"
70,"Snohomish High School","Snohomish School District","B+",1788,"24:1","98290","42644","Seattle-Bellevue-Everett,WA"
71,"Oak Harbor High School","Oak Harbor School District","B+",1590,"20:1","98277","36020","OakHarbor,WA"
72,"Bickleton School","Bickleton School District","B+",89,"7:1","98501","36500","Olympia-Tumwater,WA"
73,"Freeman High School","Freeman School District","B+",327,"19:1","99030","44060","Spokane-SpokaneValley,WA"
74,"Mt. Spokane High School","Mead School District","B+",1472,"20:1","98501","36500","Olympia-Tumwater,WA"
75,"Union High School","Evergreen Public Schools","B+",2123,"23:1","98501","36500","Olympia-Tumwater,WA"
76,"Kingston High School","North Kitsap School District","B+",817,"22:1","98346","14740","Bremerton-Silverdale,WA"
77,"Central Valley High School","Central Valley School District","B+",2000,"21:1","99037","44060","Spokane-SpokaneValley,WA"
78,"Walla Walla High School","Walla Walla Public Schools","B+",1873,"21:1","99362","47460","WallaWalla,WA"
79,"Juanita High School","Lake Washington School District","B+",1368,"19:1","98501","36500","Olympia-Tumwater,WA"
80,"Cle Elum Roslyn High School","Cle Elum-Roslyn School District","B+",274,"21:1","98922","21260","Ellensburg,WA"
81,"Squalicum High School","Bellingham School District","B+",1375,"23:1","98226","13380","Bellingham,WA"
81,"Squalicum High School","Bellingham School District","B+",1375,"23:1","98226","34580","MountVernon-Anacortes,WA"
82,"North Thurston High School","North Thurston Public Schools","B+",1477,"20:1","98506","36500","Olympia-Tumwater,WA"
83,"Arlington High School","Arlington School District","B+",1651,"22:1","98223","42644","Seattle-Bellevue-Everett,WA"
84,"Kentwood High School","Kent School District","B+",2002,"24:1","98042","42644","Seattle-Bellevue-Everett,WA"
85,"Sky Valley Education Center","Monroe School District","B+",882,"39:1","98272","42644","Seattle-Bellevue-Everett,WA"
86,"Touchet Elementary & High School","Touchet School District","B+",238,"12:1","98501","36500","Olympia-Tumwater,WA"
87,"Lake Stevens Senior High School","Lake Stevens School District","B+",1796,"23:1","98501","36500","Olympia-Tumwater,WA"
89,"North Kitsap High School","North Kitsap School District","B+",1148,"22:1","98370","14740","Bremerton-Silverdale,WA"
90,"Ilwaco Senior High School","Ocean Beach School District","B+",285,"20:1","98501","36500","Olympia-Tumwater,WA"
91,"Clallam Bay School","Cape Flattery School District","B+",119,"11:1","98501","36500","Olympia-Tumwater,WA"
92,"Secondary Academy for Success","Northshore School District","B+",128,"10:1","98021","42644","Seattle-Bellevue-Everett,WA"
