"SOC.code","SOC.title","EST.employment","ANNUAL.wage","Year","SOC.CategoryCode","SOC.CategoryName","MSA.code","MSA.name","wagecat"
"11-1011","Chief Executives",80,168222,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1.5e+05,2e+05]"
"11-1021","General & Operations Mgrs",690,117860,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1e+05,1.5e+05]"
"11-1031","Legislators",40,47132,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"11-2021","Marketing Mgrs",60,91265,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-2022","Sales Mgrs",150,110073,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1e+05,1.5e+05]"
"11-2031","Public Relations Mgrs",30,82391,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3011","Administrative Svcs Mgrs",110,84130,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3021","Computer & Information Systems Mgrs",110,97723,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3031","Financial Mgrs",430,82746,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3042","Training & Development Mgrs",30,61995,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3049","Human Resources Mgrs, All Other",40,94877,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3051","Industrial Production Mgrs",160,86555,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3061","Purchasing Mgrs",40,85735,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-3071","Transportation, Storage, & Distribution Mgrs",90,88219,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-9021","Construction Mgrs",220,105021,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1e+05,1.5e+05]"
"11-9032","Education Administrators, Elem & Secondary School",340,87031,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-9033","Education Administrators, Postsecondary",30,67197,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-9041","Engineering Mgrs",210,110784,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1e+05,1.5e+05]"
"11-9081","Lodging Mgrs",40,74787,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-9111","Medical & Health Svcs Mgrs",90,120615,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1e+05,1.5e+05]"
"11-9121","Natural Sciences Mgrs",40,105521,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(1e+05,1.5e+05]"
"11-9141","Property, Real Estate, & Community Association Mgrs",110,69664,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-9151","Social & Community Svc Mgrs",30,74578,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"11-9199","Mgrs, All Other",260,93947,"2008","11","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"13-1022","Wholesale & Retail Buyers, Not Farm Products",100,52351,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"13-1023","Purchasing Agents (Not Wholesale/Retail/Farm Prodcts)",280,53463,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"13-1031","Claims Adjusters, Examiners, & Investigators",120,49300,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"13-1041","Compliance Ofcrs (Not Ag/Const/Safety/Transportn)",100,60732,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(6e+04,1e+05]"
"13-1051","Cost Estimators",270,51822,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"13-1071","Employment, Recruitment, & Placement Specialists",140,50754,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"13-1072","Compensation, Benefits, & Job Analysis Specialists",40,56932,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
"13-1073","Training & Development Specialists",110,51276,"2008","13","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA","(3e+04,6e+04]"
