"Year","SOC.CategoryName","MSA.code","MSA.name","employ_sum","mean_wage","max_wage","min_wage","occu_count"
"2008","Architecture and Engineering",38900,"Portland-Vancouver-Hillsboro, OR-WA",2540,62965.1764705882,92205,39674,17
"2008","Arts, Design, Entertainment, Sports, and Media",38900,"Portland-Vancouver-Hillsboro, OR-WA",860,46268.7142857143,59997,27446,7
"2008","Building and Grounds Cleaning and Maintenance",38900,"Portland-Vancouver-Hillsboro, OR-WA",3650,30728.8,47673,20663,5
"2008","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA",4230,59346.4210526316,74631,49300,19
"2008","Community and Social Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",1680,41945.125,54301,24495,8
"2008","Computer and Mathematical",38900,"Portland-Vancouver-Hillsboro, OR-WA",2080,67588,78873,45005,9
"2008","Construction and Extraction",38900,"Portland-Vancouver-Hillsboro, OR-WA",8070,46107.2666666667,64605,28641,15
"2008","Education, Training, and Library",38900,"Portland-Vancouver-Hillsboro, OR-WA",9230,47132.2777777778,64004,26510,18
"2008","Farming, Fishing, and Forestry",38900,"Portland-Vancouver-Hillsboro, OR-WA",50,41794,41794,41794,1
"2008","Food Preparation and Serving Related",38900,"Portland-Vancouver-Hillsboro, OR-WA",11610,24818.2,46353,18663,15
"2008","Healthcare Practitioners and Technical",38900,"Portland-Vancouver-Hillsboro, OR-WA",5720,75460.4090909091,189306,27208,22
"2008","Healthcare Support",38900,"Portland-Vancouver-Hillsboro, OR-WA",4000,34569.8888888889,56945,21189,9
"2008","Installation, Maintenance, and Repair",38900,"Portland-Vancouver-Hillsboro, OR-WA",4310,46045.1176470588,73943,22411,17
"2008","Legal",38900,"Portland-Vancouver-Hillsboro, OR-WA",520,55736.75,87196,36620,4
"2008","Life, Physical, and Social Science",38900,"Portland-Vancouver-Hillsboro, OR-WA",1150,63309.7,79454,43344,10
"2008","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA",3430,92002.8333333333,168222,47132,24
"2008","Office and Administrative Support",38900,"Portland-Vancouver-Hillsboro, OR-WA",22030,33994.6904761905,67836,20021,42
"2008","Personal Care and Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",3180,28484,47151,19363,10
"2008","Production",38900,"Portland-Vancouver-Hillsboro, OR-WA",7920,32454.4444444444,60714,19875,36
"2008","Protective Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",2150,52185,82362,19761,8
"2008","Sales and Related",38900,"Portland-Vancouver-Hillsboro, OR-WA",13870,51261,105609,19978,17
"2008","Transportation and Material Moving",38900,"Portland-Vancouver-Hillsboro, OR-WA",7590,40281.9444444444,64015,22329,18
"2009","Architecture and Engineering",38900,"Portland-Vancouver-Hillsboro, OR-WA",3112,66121.8823529412,103827,42705,17
"2009","Arts, Design, Entertainment, Sports, and Media",38900,"Portland-Vancouver-Hillsboro, OR-WA",852,42232,62945,24825,7
"2009","Building and Grounds Cleaning and Maintenance",38900,"Portland-Vancouver-Hillsboro, OR-WA",3490,31488,46339,21073,5
"2009","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA",4246,62798.1052631579,83447,48846,19
"2009","Community and Social Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",1232,48294,62093,26861,8
"2009","Computer and Mathematical",38900,"Portland-Vancouver-Hillsboro, OR-WA",2128,70119.75,83209,45834,8
"2009","Construction and Extraction",38900,"Portland-Vancouver-Hillsboro, OR-WA",8287,49602.2666666667,67082,29968,15
"2009","Education, Training, and Library",38900,"Portland-Vancouver-Hillsboro, OR-WA",8997,49395.1875,76983,27660,16
"2009","Farming, Fishing, and Forestry",38900,"Portland-Vancouver-Hillsboro, OR-WA",78,38395.5,43622,33169,2
"2009","Food Preparation and Serving Related",38900,"Portland-Vancouver-Hillsboro, OR-WA",11647,25719,41209,19429,13
"2009","Healthcare Practitioners and Technical",38900,"Portland-Vancouver-Hillsboro, OR-WA",3628,81534.6086956522,217003,28591,23
"2009","Healthcare Support",38900,"Portland-Vancouver-Hillsboro, OR-WA",4054,37131.625,54755,21558,8
"2009","Installation, Maintenance, and Repair",38900,"Portland-Vancouver-Hillsboro, OR-WA",4018,50201.2,75629,22817,15
"2009","Legal",38900,"Portland-Vancouver-Hillsboro, OR-WA",540,58984.25,92517,36021,4
"2009","Life, Physical, and Social Science",38900,"Portland-Vancouver-Hillsboro, OR-WA",693,60231.1428571429,76360,31166,7
"2009","Management",38900,"Portland-Vancouver-Hillsboro, OR-WA",4136,95489.3333333333,183223,43419,24
"2009","Office and Administrative Support",38900,"Portland-Vancouver-Hillsboro, OR-WA",25516,35427.4390243902,63084,22006,41
"2009","Personal Care and Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",2504,30779.8888888889,49757,19718,9
"2009","Production",38900,"Portland-Vancouver-Hillsboro, OR-WA",8295,33796.1842105263,58619,21457,38
"2009","Protective Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",2257,52918.1111111111,89978,19762,9
"2009","Sales and Related",38900,"Portland-Vancouver-Hillsboro, OR-WA",13334,45838.4705882353,90527,21374,17
"2009","Transportation and Material Moving",38900,"Portland-Vancouver-Hillsboro, OR-WA",7868,41484.6428571429,63840,24155,14
"2010","Architecture and Engineering",38900,"Portland-Vancouver-Hillsboro, OR-WA",24694,66016.3846153846,96629,44491,26
"2010","Arts, Design, Entertainment, Sports, and Media",38900,"Portland-Vancouver-Hillsboro, OR-WA",14742,49482.3714285714,95510,0,35
"2010","Building and Grounds Cleaning and Maintenance",38900,"Portland-Vancouver-Hillsboro, OR-WA",27056,32086.75,49045,22087,8
"2010","Business and Financial Operations",38900,"Portland-Vancouver-Hillsboro, OR-WA",48433,61077.6666666667,93393,37807,30
"2010","Community and Social Service",38900,"Portland-Vancouver-Hillsboro, OR-WA",16835,44753.0588235294,59756,27760,17
"2010","Computer and Mathematical",38900,"Portland-Vancouver-Hillsboro, OR-WA",29149,75588.2857142857,103847,45665,14
"2010","Construction and Extraction",38900,"Portland-Vancouver-Hillsboro, OR-WA",43907,47583.4,83166,28232,35
