"ZCTA5","ZIPNAME","COUNTY","CBSA","CBSA_NAME","MSA","MSA_NAME"
"98001","ALGONA","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98001","ALGONA","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98002","AUBURN","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98003","FEDERAL WAY","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98004","BEAUX ARTS","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98005","BELLEVUE","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98006","BELLEVUE","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98007","BELLEVUE","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98008","BELLEVUE","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98010","BLACK DIAMOND","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98011","BOTHELL","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98012","MILL CREEK","Snohomish WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98012","MILL CREEK","Snohomish WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98012","MILL CREEK","Snohomish WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98014","CARNATION","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98014","CARNATION","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98019","DUVALL","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98020","WOODWAY","Snohomish WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98021","BOTHELL","Snohomish WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98021","BOTHELL","Snohomish WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
"98022","ENUMCLAW","King WA","42660","Seattle-Tacoma-Bellevue, WA","42644","Seattle-Bellevue-Everett, WA"
