"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
"1","Tesla STEM High School","Lake Washington School District, WA","A+","557","24:1"
"2","Interlake Senior High School","Bellevue School District, WA","A+","1590","19:1"
"3","International School","Bellevue School District, WA","A+","568","18:1"
"4","International Community School","Lake Washington School District, WA","A+","439","23:1"
"5","Garfield High School","Seattle Public Schools, WA","A+","1620","22:1"
"6","Bellevue High School","Bellevue School District, WA","A+","1545","21:1"
"7","Mercer Island High School","Mercer Island School District, WA","A+","1416","20:1"
"8","Newport Senior High School","Bellevue School District, WA","A+","1730","20:1"
"9","Roosevelt High School","Seattle Public Schools, WA","A+","1721","20:1"
"10","Raisbeck Aviation High School","Highline School District, WA","A+","432","22:1"
"11","Issaquah High School","Issaquah School District, WA","A+","2107","25:1"
"12","Skyline High School","Issaquah School District, WA","A+","2136","24:1"
"13","Redmond High School","Lake Washington School District, WA","A+","1875","22:1"
"14","Bainbridge High School","Bainbridge Island School District, WA","A+","1261","20:1"
"15","Eastlake High School","Lake Washington School District, WA","A+","1622","21:1"
"16","Ballard High School","Seattle Public Schools, WA","A","1669","21:1"
"17","Ingraham High School","Seattle Public Schools, WA","A","1214","20:1"
"18","Nathan Hale High School","Seattle Public Schools, WA","A","1165","19:1"
"19","Woodinville High School","Northshore School District, WA","A","1445","24:1"
"20","Kamiak High School","Mukilteo School District, WA","A","2100","23:1"
"21","Inglemoor High School","Northshore School District, WA","A","1595","22:1"
"22","Vashon Island High School","Vashon Island School District, WA","A","576","21:1"
"23","Vancouver School of Arts & Academics","Vancouver School District, WA","A","589","21:1"
"24","Liberty Senior High School","Issaquah School District, WA","A","1278","23:1"
"25","Harrison Preparatory School","Clover Park School District, WA","A","491","18:1"
"26","Olympia High School","Olympia School District, WA","A","1785","23:1"
"27","Henry M. Jackson High School","Everett School District, WA","A-","2139","24:1"
"28","Shorewood High School","Shoreline School District, WA","A-","1551","22:1"
"29","Camas High School","Camas School District, WA","A-","2005","20:1"
"30","Liberty Bell Junior/Senior High School","Methow Valley School District, WA","A-","265","16:1"
"31","Central Kitsap High School","Central Kitsap School District, WA","A-","1514","22:1"
"32","Sammamish Senior High School","Bellevue School District, WA","A-","948","19:1"
"33","Hanford High School","Richland School District, WA","A-","1721","23:1"
"34","Friday Harbor High School","San Juan Island School District, WA","A-","277","19:1"
"35","Curtis Senior High School","University Place School District, WA","A-","1446","21:1"
"36","Kentlake High School","Kent School District, WA","A-","1501","23:1"
"37","Bothell High School","Northshore School District, WA","A-","1605","22:1"
"38","Glacier Peak High School","Snohomish School District, WA","A-","1745","25:1"
