"MSA.code","MSA.name","SOC.code","SOC.title","EST.employment","ANNUAL.wage","SOC.CategoryCode","SOC.CategoryName"
"13380","Bellingham, WA","13-2011","Accountants & Auditors",682,65144,"13","Business and Financial Operations"
"14740","Bremerton-Silverdale, WA","13-2011","Accountants & Auditors",454,69042,"13","Business and Financial Operations"
"28420","Kennewick-Richland, WA","13-2011","Accountants & Auditors",712,71715,"13","Business and Financial Operations"
"30300","Lewiston, ID-WA","13-2011","Accountants & Auditors",128,65440,"13","Business and Financial Operations"
"31020","Longview, WA","13-2011","Accountants & Auditors",166,67705,"13","Business and Financial Operations"
"34580","Mount Vernon-Anacortes, WA","13-2011","Accountants & Auditors",240,68542,"13","Business and Financial Operations"
"36500","Olympia-Tumwater, WA","13-2011","Accountants & Auditors",749,70603,"13","Business and Financial Operations"
"38900","Portland-Vancouver-Hillsboro, OR-WA","13-2011","Accountants & Auditors",9513,70205,"13","Business and Financial Operations"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","13-2011","Accountants & Auditors",17257,76644,"13","Business and Financial Operations"
"44060","Spokane-Spokane Valley, WA","13-2011","Accountants & Auditors",1639,66093,"13","Business and Financial Operations"
"45104","Tacoma-Lakewood, WA Metropolitan Division","13-2011","Accountants & Auditors",2086,68960,"13","Business and Financial Operations"
"47460","Walla Walla, WA","13-2011","Accountants & Auditors",172,76889,"13","Business and Financial Operations"
"48300","Wenatchee, WA","13-2011","Accountants & Auditors",282,68603,"13","Business and Financial Operations"
"49420","Yakima, WA","13-2011","Accountants & Auditors",440,64960,"13","Business and Financial Operations"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",333,68032,"13","Business and Financial Operations"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",369,63970,"13","Business and Financial Operations"
"530003","Central WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",148,56266,"13","Business and Financial Operations"
"530004","Eastern WA Nonmetropolitan Area (NMA)","13-2011","Accountants & Auditors",368,64226,"13","Business and Financial Operations"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","15-2011","Actuaries",238,118226,"15","Computer and Mathematical"
"44060","Spokane-Spokane Valley, WA","15-2011","Actuaries",17,89659,"15","Computer and Mathematical"
"13380","Bellingham, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",48,24154.83,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","51-9191","Adhesive Bonding Machine Operators & Tenders",111,38706,"51","Production"
"44060","Spokane-Spokane Valley, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",46,30670,"51","Production"
"45104","Tacoma-Lakewood, WA Metropolitan Division","51-9191","Adhesive Bonding Machine Operators & Tenders",21,41544,"51","Production"
"49420","Yakima, WA","51-9191","Adhesive Bonding Machine Operators & Tenders",17,28180.64,"51","Production"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","51-9191","Adhesive Bonding Machine Operators & Tenders",20,34009,"51","Production"
"38900","Portland-Vancouver-Hillsboro, OR-WA","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",162,88515,"23","Legal"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",121,109122,"23","Legal"
"44060","Spokane-Spokane Valley, WA","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",21,117648,"23","Legal"
"45104","Tacoma-Lakewood, WA Metropolitan Division","23-1021","Admin Law Judges, Adjudicators & Hearing Officers",34,121233,"23","Legal"
"13380","Bellingham, WA","11-3011","Administrative Services Managers",99,92899,"11","Management"
"14740","Bremerton-Silverdale, WA","11-3011","Administrative Services Managers",86,77624,"11","Management"
"28420","Kennewick-Richland, WA","11-3011","Administrative Services Managers",179,120584,"11","Management"
"30300","Lewiston, ID-WA","11-3011","Administrative Services Managers",52,66848,"11","Management"
"31020","Longview, WA","11-3011","Administrative Services Managers",49,115594,"11","Management"
"34580","Mount Vernon-Anacortes, WA","11-3011","Administrative Services Managers",62,87246,"11","Management"
"36500","Olympia-Tumwater, WA","11-3011","Administrative Services Managers",130,95512,"11","Management"
"38900","Portland-Vancouver-Hillsboro, OR-WA","11-3011","Administrative Services Managers",2256,90328,"11","Management"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-3011","Administrative Services Managers",2946,120665,"11","Management"
"44060","Spokane-Spokane Valley, WA","11-3011","Administrative Services Managers",309,81001,"11","Management"
"45104","Tacoma-Lakewood, WA Metropolitan Division","11-3011","Administrative Services Managers",360,88634,"11","Management"
"47460","Walla Walla, WA","11-3011","Administrative Services Managers",27,77307,"11","Management"
"48300","Wenatchee, WA","11-3011","Administrative Services Managers",55,106614,"11","Management"
"49420","Yakima, WA","11-3011","Administrative Services Managers",67,80093,"11","Management"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",68,79603,"11","Management"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",83,85726,"11","Management"
"530003","Central WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",36,60430,"11","Management"
"530004","Eastern WA Nonmetropolitan Area (NMA)","11-3011","Administrative Services Managers",98,92797,"11","Management"
"13380","Bellingham, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",90,49326,"25","Education, Training, and Library"
"28420","Kennewick-Richland, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",63,48910,"25","Education, Training, and Library"
"36500","Olympia-Tumwater, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",53,43635,"25","Education, Training, and Library"
"38900","Portland-Vancouver-Hillsboro, OR-WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",343,57720,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",1307,52819,"25","Education, Training, and Library"
"45104","Tacoma-Lakewood, WA Metropolitan Division","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",223,53295,"25","Education, Training, and Library"
"48300","Wenatchee, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",56,50693,"25","Education, Training, and Library"
"49420","Yakima, WA","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",96,44283,"25","Education, Training, and Library"
"530001","Northwestern WA Nonmetropolitan Area (NMA)","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",35,52880,"25","Education, Training, and Library"
"530002","Southwestern WA Nonmetropolitan Area (NMA)","25-3011","Adult Literacy, Remedial Ed, GED Teachers/Instructors",67,47756,"25","Education, Training, and Library"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","11-2011","Advertising & Promotions Managers",501,131665,"11","Management"
"44060","Spokane-Spokane Valley, WA","11-2011","Advertising & Promotions Managers",27,88736,"11","Management"
"13380","Bellingham, WA","41-3011","Advertising Sales Agents",67,61010,"41","Sales and Related"
"14740","Bremerton-Silverdale, WA","41-3011","Advertising Sales Agents",57,57070,"41","Sales and Related"
"28420","Kennewick-Richland, WA","41-3011","Advertising Sales Agents",75,62410,"41","Sales and Related"
"34580","Mount Vernon-Anacortes, WA","41-3011","Advertising Sales Agents",16,73450,"41","Sales and Related"
"36500","Olympia-Tumwater, WA","41-3011","Advertising Sales Agents",39,33330,"41","Sales and Related"
"38900","Portland-Vancouver-Hillsboro, OR-WA","41-3011","Advertising Sales Agents",747,54270,"41","Sales and Related"
"42644","Seattle-Bellevue-Everett, WA Metropolitan Division","41-3011","Advertising Sales Agents",1582,53880,"41","Sales and Related"
"44060","Spokane-Spokane Valley, WA","41-3011","Advertising Sales Agents",237,52380,"41","Sales and Related"
"45104","Tacoma-Lakewood, WA Metropolitan Division","41-3011","Advertising Sales Agents",107,47680,"41","Sales and Related"
"48300","Wenatchee, WA","41-3011","Advertising Sales Agents",48,41440,"41","Sales and Related"
"49420","Yakima, WA","41-3011","Advertising Sales Agents",105,55160,"41","Sales and Related"
