"MSA.code","high_rank","students_num","school_count","school_list"
"10140",309,1743,9," 309 | North Beach Senior High School <br/> 318 | Lake Quinault High School <br/> 321 | Hoquiam High School <br/> 338 | Elma High School <br/> 342 | Oakville High School <br/> 455 | Harbor High School <br/> 512 | Hoquiam Homelink School <br/> 530 | Taholah High School <br/> 535 | North River School <br/>"
"13380",56,9863,17," 56 | Bellingham High School <br/> 81 | Squalicum High School <br/> 115 | Sehome High School <br/> 157 | Meridian High School <br/> 183 | Blaine High School <br/> 204 | Nooksack Valley High School <br/> 211 | Lynden High School <br/> 264 | Sedro Woolley Senior High School <br/> 277 | Ferndale High School <br/> 374 | State Street High School <br/> 389 | Meridian Parent Partnership Program <br/> 415 | Lynden Academy <br/> 472 | Options High School <br/> 514 | Blaine Home Connections <br/> 560 | Mount Baker Academy <br/> 581 | Meridian Special Programs <br/> 594 | Bellingham Re-Engagement Program <br/>"
"14740",14,9946,13," 14 | Bainbridge High School <br/> 31 | Central Kitsap High School <br/> 41 | Eagle Harbor High School <br/> 76 | Kingston High School <br/> 89 | North Kitsap High School <br/> 209 | Olympic High School <br/> 229 | Explorer Academy <br/> 272 | Bremerton High School <br/> 284 | South Kitsap High School <br/> 413 | Renaissance Alternative High School <br/> 430 | Alternative High School <br/> 496 | Chief Kitsap Academy <br/> 562 | Bainbridge Special Education Services <br/>"
"16500",195,3230,9," 195 | Toledo High School <br/> 230 | Pe Ell School <br/> 273 | Centralia High School <br/> 281 | Rochester High School <br/> 328 | Onalaska High School <br/> 342 | Oakville High School <br/> 380 | Centralia Middle School <br/> 490 | Futurus High School <br/> 623 | Mossyrock Academy <br/>"
"21260",69,2601,6," 69 | Ellensburg High School <br/> 80 | Cle Elum Roslyn High School <br/> 123 | Kittitas High School <br/> 269 | East Valley High School <br/> 457 | Easton School <br/> 577 | Swiftwater Learning Center <br/>"
"28420",33,19987,22," 33 | Hanford High School <br/> 58 | Kamiakin High School <br/> 98 | Southridge High School <br/> 120 | Richland High School <br/> 163 | Kennewick High School <br/> 225 | River View High School <br/> 235 | Prosser High School <br/> 259 | Rivers Edge High School <br/> 285 | Chiawana High School <br/> 313 | Kiona-Benton City High School <br/> 326 | Connell High School <br/> 334 | Othello High School <br/> 340 | Sunnyside High School <br/> 351 | Pasco Senior High School <br/> 370 | Grandview High School <br/> 372 | Compass High School <br/> 376 | New Horizons High School <br/> 498 | Desert Oasis High School <br/> 519 | Contract Learning Center <br/> 526 | Phoenix High School <br/> 556 | Prosser Falls Education Center <br/> 574 | Palouse Junction High School <br/>"
"30300",234,923,2," 234 | Charles Francis Adams High School <br/> 429 | Educational Opportunity Center <br/>"
"31020",122,4156,10," 122 | Woodland High School <br/> 158 | Mark Morris High School <br/> 212 | Toutle Lake High School <br/> 286 | Kelso High School <br/> 358 | Castle Rock High School <br/> 409 | Discovery High School <br/> 492 | TEAM High School <br/> 516 | Lewis River Academy <br/> 583 | Loowit High School <br/> 616 | Kelso Virtual Academy <br/>"
"34180",239,6601,12," 239 | Ephrata High School <br/> 290 | Moses Lake High School <br/> 308 | Royal High School <br/> 325 | Almira Coulee Hartline High School <br/> 331 | Warden High School <br/> 334 | Othello High School <br/> 343 | Wahluke High School <br/> 356 | Quincy High School <br/> 498 | Desert Oasis High School <br/> 522 | Sage Hills High School <br/> 528 | Skill Source Learning Center <br/> 563 | Smokiam Alternative High School <br/>"
"34580",81,9452,14," 81 | Squalicum High School <br/> 95 | Anacortes High School <br/> 137 | La Conner High School <br/> 157 | Meridian High School <br/> 189 | Mount Vernon High School <br/> 264 | Sedro Woolley Senior High School <br/> 265 | Stanwood High School <br/> 297 | Burlington Edison High School <br/> 352 | Concrete High School <br/> 374 | State Street High School <br/> 441 | Lincoln Hill High School <br/> 454 | Saratoga School <br/> 533 | Cap Sante High School <br/> 581 | Meridian Special Programs <br/>"
